,codes,names
0,A32,CTCP 32
1,AAA,CTCP Nhựa An Phát Xanh
2,AAM,CTCP Thủy sản MeKong
3,AAS,CTCP Chứng khoán SmartInvest
4,AAV,CTCP Việt Tiên Sơn Địa ốc
5,ABB,Ngân hàng TMCP An Bình
6,ABC,CTCP Truyền thông VMG
7,ABI,CTCP Bảo hiểm Ngân hàng Nông nghiệp Việt Nam
8,ABR,CTCP Đầu tư Nhãn hiệu Việt
9,ABS,CTCP Dịch vụ Nông nghiệp Bình Thuận
10,ABT,CTCP Xuất nhập khẩu Thủy sản Bến Tre
11,AC4,CTCP ACC-244
12,ACB,Ngân hàng TMCP Á Châu
13,ACC,CTCP Đầu tư và Xây dựng Bình Dương ACC
14,ACE,CTCP Bê tông Ly tâm An Giang
15,ACL,CTCP Xuất nhập khẩu Thủy sản Cửu Long An Giang
16,ACM,CTCP Tập đoàn Khoáng sản Á Cường
17,ACS,CTCP Xây lắp Thương mại 2
18,ACV,Tổng Công ty Cảng Hàng không Việt Nam - CTCP
19,ADC,CTCP Mỹ thuật và Truyền thông
20,ADG,CTCP Clever Group
21,ADP,CTCP Sơn Á Đông
22,ADS,CTCP Damsan
23,AFX,CTCP Xuất nhập khẩu Nông sản Thực phẩm An Giang
24,AG1,CTCP 28.1
25,AGF,CTCP Xuất nhập khẩu Thủy sản An Giang
26,AGG,CTCP Đầu tư và Phát triển Bất động sản An Gia
27,AGM,CTCP Xuất nhập khẩu An Giang
28,AGP,CTCP Dược phẩm Agimexpharm
29,AGR,CTCP Chứng khoán Agribank
30,AGX,CTCP Thực phẩm Nông Sản xuất khẩu Sài Gòn
31,AIC,Tổng Công ty Cổ phần Bảo hiểm Hàng không
32,ALT,CTCP Văn hóa Tân Bình
33,ALV,CTCP Xây dựng ALVICO
34,AMC,CTCP Khoáng sản Á Châu
35,AMD,CTCP Đầu tư và Khoáng sản FLC AMD
36,AME,CTCP Alphanam E&C
37,AMP,CTCP Armephaco
38,AMS,CTCP Cơ khí Xây dựng AMECC
39,AMV,CTCP Sản xuất Kinh doanh Dược và Trang thiết bị Y tế Việt Mỹ
40,ANT,CTCP Rau quả Thực phẩm An Giang
41,ANV,CTCP Nam Việt
